feature,pooled_c2st,pooled_c2st_calibrated,benign_c2st,attack_c2st,benign_c2st_calibrated,attack_c2st_calibrated,dominant_slice,dominant_c2st,c2st_Botnet,c2st_BruteForce,c2st_DDoS,c2st_DoS,c2st_Infiltration,c2st_WebAttack,c2st_calibrated_Botnet,c2st_calibrated_BruteForce,c2st_calibrated_DDoS,c2st_calibrated_DoS,c2st_calibrated_Infiltration,c2st_calibrated_WebAttack
Subflow Bwd Bytes,0.7229875,0.4251207078118886,0.648976875,0.9921737500000001,0.2670669756084844,0.983762728181797,DDoS,0.999999375,0.9625720950542378,0.9995,0.999999375,0.999699375,0.5251868749999999,0.946155269125194,0.9213424532713921,0.9989315516216305,0.9999986837518295,0.9993547211771836,0.04104934493513027,0.8801780926422035
Bwd Init Win Bytes,0.7364531249999999,0.4602207569183325,0.691171875,0.992291875,0.35248413955009117,0.9832609369784083,DDoS,1.0,0.9965427008641294,0.99975,1.0,0.9996449999999999,0.5185925,0.9772451963241438,0.9928925819635317,0.999475788615124,1.0,0.9992531376701971,0.03000713072582698,0.9394718805015098
Active Mean,0.53498125,0.03131843052965931,0.559435,0.5506387499999998,0.09571382552351596,0.0792511561195321,DDoS,0.7322837499999999,0.5,0.5,0.7322837499999999,0.5301543750000001,0.53155875,0.519015992361857,-0.0016839289647298335,0.0,0.4461015539714239,0.0450314709651024,0.048401777723449314,-0.06424007726045695
Active Std,0.504680625,-0.006089658132673772,0.5093125000000001,0.505995,-0.022011453321055204,0.005322625725480695,DoS,0.51911375,0.5,0.5,0.5,0.51911375,0.50449875,0.5,0.0,0.0,0.0,0.02332654027993123,0.002070628063657272,0.0
Active Max,0.5384881250000001,0.052257417133640904,0.5471743750000001,0.557119375,0.048061350719547674,0.09464572047256418,DDoS,0.738618125,0.5,0.5005,0.738618125,0.5341718750000001,0.5279874999999999,0.519015992361857,0.0,0.0009999999999998899,0.4529925021358259,0.05260409382394711,0.0451201305419754,-0.04035174962277262
Active Min,0.5931206249999998,0.15470372455807518,0.602045,0.5571325,0.17522480156680184,0.09626466850568088,DDoS,0.7313799999999999,0.5,0.5,0.7313799999999999,0.5399518750000001,0.53676625,0.519015992361857,0.0,0.0,0.4430283043875049,0.0708750707836935,0.060456524845478046,-0.07664235453903205
Idle Min,0.5553418750000001,0.0838862379570331,0.5578718750000001,0.58382,0.09679921896344962,0.15132710418895245,DDoS,0.7852600000000001,0.5,0.5,0.7852600000000001,0.5315843750000001,0.531131875,0.5252852369017783,0.0,0.0,0.5596957283077814,0.04138189551811034,0.03824681331564345,-0.004993993455667994
Idle Mean,0.570485,0.11069070030683573,0.5886168749999999,0.569831875,0.15008343882618583,0.12224920581677046,DDoS,0.7840174999999999,0.5,0.5,0.7840174999999999,0.539199375,0.5267118749999999,0.5252852369017783,0.0,0.0,0.5562615335488861,0.061557446216273196,0.03752813257720659,-0.03936123852563786
ICMP Code,0.5,0.0,0.5005,0.5,-0.0022459783099045613,0.0,benign,0.5005,0.5,0.5,0.5,0.5,0.499,0.5,0.0,0.0,0.0,0.0,-0.00379018074601623,0.0
Idle Max,0.587686875,0.12594753321825486,0.59548875,0.5750556249999998,0.1691380608179291,0.13926329660279213,DDoS,0.78064,0.5,0.5,0.78064,0.5421862500000001,0.533254375,0.5252852369017783,0.0,0.0,0.5470705227334566,0.07350441685126073,0.05198308168753484,-0.07136985999003205
